2017-09-16,Wakefield Wanderers 1 Ladies,Thirsk 2 Ladies
2017-09-23,Wakefield Wanderers 1 Ladies,Sheffield University Bankers 2 Ladies
2017-10-07,Wakefield Wanderers 1 Ladies,Harrogate 3 Ladies
2017-11-11,Wakefield Wanderers 1 Ladies,Slazengers 2 Ladies
2017-11-25,Wakefield Wanderers 1 Ladies,Bingley Bees 1 Ladies
2017-12-02,Wakefield Wanderers 1 Ladies,City of York 4 Ladies
2018-01-06,Wakefield Wanderers 1 Ladies,Tadcaster Magnets 1 Ladies
2018-01-13,Wakefield Wanderers 1 Ladies,Leeds 3 Ladies
2018-01-27,Wakefield Wanderers 1 Ladies,Hull University 1 Ladies
2018-02-10,Wakefield Wanderers 1 Ladies,Colne Valley 1 Ladies
2018-03-03,Wakefield Wanderers 1 Ladies,Leeds Adel 3 Ladies
2017-09-23,Wakefield 1 Ladies,Timperly
2017-10-07,Wakefield 1 Ladies,Sutton Coldfield
2017-10-21,Wakefield 1 Ladies,Ben Rhydding
2017-11-04,Wakefield 1 Ladies,Loughborough
2017-11-12,Wakefield 1 Ladies,Durham
2018-02-03,Wakefield 1 Ladies,Beeston
2018-02-24,Wakefield 1 Ladies,Fylde
2018-03-03,Wakefield 1 Ladies,Brooklands Poynton
2018-03-24,Wakefield 1 Ladies,Liverpool Sefton
2017-10-07,Wakefield 1 Mens,Didsbury Northern Men's 1s Mens
2017-10-21,Wakefield 1 Mens,Oxton Men's 1s Mens
2017-11-04,Wakefield 1 Mens,Brooklands MU Men's 2s Mens
2017-11-18,Wakefield 1 Mens,Alderley Edge Men's 1s Mens
2017-12-02,Wakefield 1 Mens,Sheffield University Bankers Men's 1s Mens
2018-01-13,Wakefield 1 Mens,Chester Men's 1s Mens
2018-01-27,Wakefield 1 Mens,Bowdon Men's 2s Mens
2018-02-10,Wakefield 1 Mens,Timperley Men's 1s Mens
2018-02-24,Wakefield 1 Mens,Whitley Bay & Tynemouth Mens 1s
2018-03-10,Wakefield 1 Mens,University of Durham Men's 2nd Mens
2018-03-17,Wakefield 1 Mens,Formby Men's 1s Mens
2017-09-23,Wakefield 2 Ladies,Neston Ladies 1s
2017-09-30,Wakefield 2 Ladies,Doncaster Ladies' 1s
2017-10-14,Wakefield 2 Ladies,University of Leeds Women's 1sts Ladies
2017-10-28,Wakefield 2 Ladies,Sheffield Hallam Ladies 1s
2017-11-11,Wakefield 2 Ladies,Didsbury Northern Ladies 1s
2017-11-25,Wakefield 2 Ladies,University of Durham Women's 2nd Ladies
2017-12-09,Wakefield 2 Ladies,Kendal Ladies' 1s
2018-01-20,Wakefield 2 Ladies,Leeds Ladies 1s
2018-02-03,Wakefield 2 Ladies,Kirkby Stephen Ladies 1s
2018-02-17,Wakefield 2 Ladies,Whitley Bay & Tynemouth Ladies 1s
